university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
靜宜大學,財務與計算數學系財務工程組,100,2,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,50.0182,42.7156
銘傳大學,生物科技學系(桃園校區),100,1,2,NULL,NULL,2,2,NULL,NULL,NULL,NULL,45.9714,42.6893
中原大學,生物環境工程學系,100,1,1.5,2,NULL,1,2,NULL,NULL,NULL,NULL,45.54,42.6872
國立屏東教育大學,視覺藝術學系,100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,1,2,55.3375,42.6564
靜宜大學,資傳工程系(網路多媒體組),100,1.75,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,49.2364,42.6533
大同大學,資訊工程學系,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,45.2125,42.6257
靜宜大學,資訊管理學系(資訊服務組),100,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,49.6139,42.5953
靜宜大學,生態學系(自然組),100,2,2,NULL,NULL,2,1,NULL,NULL,NULL,NULL,48.1143,42.5844
國立聯合大學,環境與安全衛生工程學系,100,1,2,2,NULL,NULL,2,NULL,NULL,NULL,NULL,45.5143,42.5567
東海大學,環境科學與工程系(自然A組),100,2,1.5,1,NULL,NULL,2,NULL,NULL,NULL,NULL,48.2385,42.5066
靜宜大學,財務與計算數學系計算數學組,100,2,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,49.7273,42.3984
靜宜大學,中國文學系,100,1.5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.25,54.8,42.3868
銘傳大學,應用英語學系(桃園校區),100,1.5,2,NULL,1,NULL,NULL,NULL,NULL,1,1,52.0846,42.3625
中國文化大學,美術學系,100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,1,2,55.0771,42.2912
靜宜大學,生態學系(人文組),100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,54.1143,42.2472
中國文化大學,大眾傳播學系,100,2,2,NULL,2,NULL,NULL,NULL,NULL,1,1,51.575,42.1945
淡江大學,土木工程學系營建企業組,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,44.7625,42.1705
中國文化大學,廣告學系B班,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,54.2,42.1549
東吳大學,財務工程與精算數學系,100,2,2,2,NULL,1,1,NULL,NULL,NULL,NULL,46.85,42.0621
靜宜大學,財務金融學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,51.0267,42.0565
東海大學,化學系化學組,100,1,1.5,1.5,NULL,1,2,NULL,NULL,NULL,NULL,45.1429,42.025
東海大學,物理學系應用物理組,100,1,1,2,NULL,2,1,NULL,NULL,NULL,NULL,44.9571,41.9973
中原大學,應用數學系,100,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.375,41.9242
中原大學,土木工程學系,100,2,1,1,NULL,2,NULL,NULL,NULL,NULL,NULL,48.15,41.9073
銘傳大學,華語文教學學系(桃園校區),100,1,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,47.1,41.8489
國立屏東教育大學,音樂學系-大提琴,100,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,54.602,41.7707
實踐大學,應用中文學系(高雄校區),100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,53.8846,41.7353
逢甲大學,土木工程學系,100,2,NULL,1.75,NULL,1.75,NULL,NULL,NULL,NULL,NULL,48.4236,41.735
逢甲大學,環境工程與科學學系,100,2,NULL,1.75,NULL,NULL,2,NULL,NULL,NULL,NULL,48.1739,41.71
淡江大學,資訊創新與科技系軟體工程組,100,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.24,41.6701
靜宜大學,大眾傳播學系,100,2,1.75,NULL,1,NULL,NULL,NULL,NULL,NULL,1,51.8313,41.6091
義守大學,營養學系,100,1,2,1,NULL,2,2,NULL,NULL,NULL,NULL,44.3125,41.4328
國立宜蘭大學,土木工程學系,100,1,1.5,2,NULL,2,1,NULL,NULL,NULL,NULL,44.18,41.4085
國立高雄大學,傳統工藝與創意設計學系,100,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,1,2,54.1157,41.3663
國立金門大學,資訊工程學系,100,1,1.5,1.5,NULL,1,NULL,NULL,NULL,NULL,NULL,45.09,41.3278
淡江大學,數學系資料科學與數理統計組,100,1.5,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,45.6077,41.1982
國立體育大學,運動保健學系B,100,2,2,1,NULL,1.75,NULL,NULL,NULL,NULL,NULL,46.8193,41.1777
東海大學,工業工程與經營資訊系(A組),100,2,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,46.4857,41.1721
中原大學,工業與系統工程學系,100,1.5,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,45.4538,41.1503
國立臺南大學,美術學系,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,53.5314,41.1279
靜宜大學,化粧品科學系,100,2,1,NULL,NULL,1.5,2,NULL,NULL,NULL,NULL,47.1769,40.9988
慈濟大學,醫學資訊學系生物資訊組,100,1,1.5,2,NULL,1.5,1,NULL,NULL,NULL,NULL,43.8643,40.9294
大同大學,機械工程學系電子機械組,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,43.5,40.8941
中國文化大學,生命科學系,100,1,1.5,1,NULL,2,1.5,NULL,NULL,NULL,NULL,44.0357,40.8539
東吳大學,音樂學系-聲樂,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,54.975,40.8247
國立金門大學,建築學系,100,2,2,1.75,NULL,1,NULL,NULL,NULL,NULL,NULL,46.3481,40.8194
中國文化大學,新聞學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,1,1,51.0857,40.8149
國立高雄師範大學,音樂學系-聲樂,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,54.95,40.7785
靜宜大學,國際企業學系,100,2,2,NULL,2,NULL,NULL,NULL,NULL,1,1,50.425,40.7086
淡江大學,數學學系數學組,100,1.5,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,45.0308,40.6167
中國文化大學,財務金融學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,50.0333,40.5595
真理大學,法律學系(淡水校區),100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,1,2,54.2375,40.5356
靜宜大學,企業管理學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,50.0133,40.5291
長榮大學,護理學系,100,1,2,1,NULL,2,2,NULL,NULL,NULL,NULL,43.4375,40.5225
國立臺東大學,身心整合與運動休閒產業學系,100,1.5,2,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,45.8818,40.4903
逢甲大學,通訊工程學系,100,1.75,1,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,45.6148,40.4732
大同大學,資訊經營學系,100,1,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.975,40.4332
國立金門大學,電子工程學系,100,1,1,2,NULL,2,2,NULL,NULL,NULL,NULL,43.225,40.3799
義守大學,醫學影像暨放射科學系,100,2,1,1,NULL,2,1,NULL,NULL,NULL,NULL,46.0667,40.3763
中國文化大學,會計學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,49.7867,40.3126
中國文化大學,心理輔導學系,100,1.75,1.75,NULL,1.5,NULL,NULL,NULL,NULL,1,1,50.5186,40.2934
淡江大學,土木工程學系工程設施組,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,42.9,40.2861
中國文化大學,社會福利學系,100,1.5,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,1,50.2462,40.2691
慈濟大學,社會工作學系,100,1.25,1.25,NULL,1,NULL,NULL,NULL,NULL,1,1,51.1662,40.2673
東吳大學,化學系,100,1,1,1.5,NULL,1.5,2,NULL,NULL,NULL,NULL,43.4357,40.1859
亞洲大學,心理學系(乙),100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,2,2,53.725,40.1545
靜宜大學,會計學系,100,2,2,NULL,2,NULL,NULL,NULL,NULL,1,1,50.05,40.1329
中國文化大學,國際企業管理學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,1,1,50.6286,40.1243
銘傳大學,資訊傳播工程系自然組(桃園),100,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.8,40.0999
逢甲大學,應用數學系,100,1.75,1.75,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.86,40.0648
中國文化大學,觀光事業學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,49.5,40.0487
銘傳大學,應用中國文學系(桃園校區),100,2,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1.5,51.9643,40.0375
義守大學,餐旅管理學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,2,1,50.7375,40.022
臺北市立教育大學,體育學系,100,1,1,1,NULL,2,NULL,NULL,NULL,NULL,2,49.9029,40.0087
淡江大學,水資源環境工程系水資源組,100,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,45.1625,39.9442
實踐大學,服飾設計與經營學系(高雄),100,2,2,NULL,1,NULL,NULL,NULL,NULL,1,1,50.5,39.918
逢甲大學,機械與電腦輔助工程學系,100,2,1,1.75,NULL,1.75,1,NULL,NULL,NULL,NULL,45.1707,39.884
義守大學,電影與電視學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,2,1,50.575,39.7314
國立中山大學,音樂學系-聲樂,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,54.38,39.7232
靜宜大學,觀光事業學系,100,2,2,NULL,2,NULL,NULL,NULL,NULL,1,1,49.65,39.7179
國立臺東大學,應用科學系應用物理組,100,1,1,2,NULL,2,1.5,NULL,NULL,NULL,NULL,42.5667,39.6297
大同大學,機械工程學系精密機械組,100,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,42.25,39.6202
中國文化大學,國際貿易學系,100,2,2,NULL,2,NULL,NULL,NULL,NULL,1,1,49.5,39.5729
國立臺東大學,美術產業學系,100,1.75,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,52.4261,39.5281
國立東華大學,音樂學系-聲樂,100,1.5,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,52.7352,39.4966
中國文化大學,經濟學系,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,48.5286,39.4926
臺北市立體育學院,體育與健康學系,100,2,2,NULL,1,2,NULL,NULL,NULL,NULL,NULL,45.4286,39.4684
國立嘉義大學,視覺藝術學系,100,2,1.5,NULL,1,NULL,NULL,NULL,NULL,1,2,52.0953,39.4152
大同大學,材料工程學系,100,1,1,1.5,NULL,1.5,1.5,NULL,NULL,NULL,NULL,42.7462,39.3557
東海大學,物理學系物理組,100,1,1,2,NULL,2,1,NULL,NULL,NULL,NULL,42.3571,39.3546
中國文化大學,中國文學系文藝創作組,100,2,1,NULL,1,NULL,NULL,NULL,NULL,1,1,51.3,39.3438
逢甲大學,航太與系統工程學系,100,2,1,2,NULL,2,1,NULL,NULL,NULL,NULL,44.325,39.3318
逢甲大學,水利工程與資源保育學系,100,2,NULL,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,45.9304,39.2947
淡江大學,水資源環境工程系環境工程組,100,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,44.55,39.2892
義守大學,觀光餐旅學系 (國際學院),100,2,2,NULL,1,NULL,NULL,NULL,NULL,2,1,50.275,39.1951
國立臺東大學,數學系,100,1.25,1,2,NULL,1.25,1,NULL,NULL,NULL,NULL,42.9508,39.0525
中國文化大學,行政管理學系,100,1.5,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1.5,50.8538,39.0294
國立臺東大學,資訊工程學系,100,2,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,44.4,39.0153
中國文化大學,英國語文學系,100,1.5,2,NULL,1,NULL,NULL,NULL,NULL,1,1,49.4308,39.0098
逢甲大學,自動控制工程學系,100,1.75,1,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,44.1333,38.9143
慈濟大學,公共衛生學系,100,1.5,2,1.5,NULL,1,1,NULL,NULL,NULL,NULL,43.2143,38.8862
真理大學,音樂應用學系-甲(淡水校區),100,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,52.744,38.8489
國立臺東大學,音樂學系-大提琴,100,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,52.728,38.823
中國文化大學,德國語文學系,100,1.5,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1,50.075,38.8196
銘傳大學,資訊工程學系(桃園校區),100,2,2,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.2435,38.818
亞洲大學,會計與資訊學系(管理應用組),100,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,46.2574,38.8095
中國文化大學,市政暨環境規劃學系,100,1.5,2,NULL,1,NULL,NULL,NULL,NULL,1.5,1,49.4429,38.7748
中國文化大學,資訊管理學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,1,48.3867,38.7159
義守大學,護理學系,100,2,2,1,NULL,2,1,NULL,NULL,NULL,NULL,43.8,38.7146
慈濟大學,生命科學系,100,NULL,1.5,1,NULL,2,1.5,NULL,NULL,NULL,NULL,39.4714,38.6719
義守大學,生物科技學系,100,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,43.9556,38.6566
亞洲大學,創意商品設計系(流行精品組),100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,2,1,51.9375,38.5616
義守大學,會計學系,100,2,1,NULL,1,NULL,NULL,NULL,NULL,2,2,52.05,38.56
大同大學,化學工程學系,100,1,2,2,NULL,1,2,NULL,NULL,NULL,NULL,41.35,38.4625
中國文化大學,食品暨保健營養學系,100,2,2,1,NULL,1,2,NULL,NULL,NULL,NULL,43.65,38.4053
真理大學,人文與資訊學系(淡水校區),100,2,1,NULL,NULL,NULL,NULL,NULL,NULL,2,1,51.75,38.3573
逢甲大學,纖維與複合材料學系,100,2,1,2,NULL,1,2,NULL,NULL,NULL,NULL,43.45,38.2745
