biology,cume,0
45,92.38,20.0427
44,93.48,19.125
43,94.11,18.5636
42,94.99,17.7636
41,95.5,17.3
40,96.19,16.625
39,96.62,16.1771
38,97.19,15.4937
37,97.47,15.1392
36,97.9,14.5429
35,98.1,14.2571
34,98.47,13.6346
33,98.66,13.2692
32,98.91,12.725
31,99.1,12.25
30,99.32,11.6
29,99.44,11.2
28,99.58,10.5555
27,99.67,10.0556
26,99.76,9.42856
25,99.81,9.07144
24,99.88,8.25005
23,99.91,7.83329
22,99.96,7
21,99.96,7
20,99.97,6.5
19,99.97,6.5
18,99.98,6
17,99.99,5
16,100,2
15,100,2
14,100,2
13,100,2
12,100,2
11,100,2
10,100,2
9,100,2
8,100,2
7,100,2
6,100,2
5,100,2
4,100,2
3,100,2
2,100,2
1,100,2
0,100,2
